Kannada,English
ಮಾಹಿತಿ,Information
ನಾನು,I have
ಅವರ,His
ಆ,That
ಅವರು,They
ಆಗಿತ್ತು,It was
ಫಾರ್,Of
ಮೇಲೆ,On
ಇವೆ,There are
ಜೊತೆ,With
ಅವರು,They
ಎಂದು,That
ನಲ್ಲಿ,At the
ಒಂದು,One
ಹೊಂದಿವೆ,Have
ಈ,This
ರಿಂದ,From
ಮೂಲಕ,By
ಬಿಸಿ,Heating
ಪದ,The word
ಆದರೆ,"However,"
ಏನು,What
ಕೆಲವು,Some
ಆಗಿದೆ,Is
ಇದು,It is
ನೀವು,You
ಅಥವಾ,Or
ಹೊಂದಿತ್ತು,Had
ದಿ,The
ನ,Of
ಗೆ,From
ಮತ್ತು,And
ಒಂದು,One
ರಲ್ಲಿ,In the
ನಾವು,We are
ಮಾಡಬಹುದು,Can
ಔಟ್,Out
ಇತರ,Other
ಎಂದು,That
ಇದು,It is
ಹಾಗೆ,Like
ತಮ್ಮ,Their
ಸಮಯ,Time
ವೇಳೆ,If the
ತಿನ್ನುವೆ,Will
ಹೇಗೆ,How
ಹೇಳಿದರು,"Said,"
ಒಂದು,One
ಪ್ರತಿ,Each
ಹೇಳಲು,To say
ಮಾಡುತ್ತದೆ,Will
ಸೆಟ್,Set
ಮೂರು,The three
ಬಯಸುವ,Want
ಗಾಳಿ,Wind
ಹಾಗೂ,And
ಸಹ,Also
ಆಡಲು,Play
ಸಣ್ಣ,Small
ಕೊನೆಯಲ್ಲಿ,At the end of
ಪುಟ್,Put the
ಮನೆ,House
ಓದಲು,Read
ಕೈ,Hand
ಬಂದರು,Harbor
ದೊಡ್ಡ,Help
ಕಾಗುಣಿತ,Spelling
ಸೇರಿಸಬಹುದು,.It
ಸಹ,Also
ಭೂಮಿ,The land
ಇಲ್ಲಿ,Here
ಮಾಡಬೇಕಾಗುತ್ತದೆ,Need
ದೊಡ್ಡ,Help
ಹೆಚ್ಚಿನ,More
ಇಂತಹ,Help
ಅನುಸರಿಸಿ,Follow
ಆಕ್ಟ್,The Act
ಏಕೆ,Why
ಕೇಳಿ,Ask the
ಪುರುಷರು,Men
ಬದಲಾವಣೆ,Change
ಹೋದರು,Went to
ಬೆಳಕಿನ,Light
ರೀತಿಯ,Kind of
ಆಫ್,Of
ಅಗತ್ಯವಿದೆ,Need
ಮನೆ,House
ಚಿತ್ರ,Image
ಪ್ರಯತ್ನಿಸಿ,Try
ನಮಗೆ,Us
ಮತ್ತೆ,Again
ಪ್ರಾಣಿ,The animal
ಪಾಯಿಂಟ್,The point
ತಾಯಿ,Mother
ವಿಶ್ವದ,The world
ಬಳಿ,Near the
ನಿರ್ಮಿಸಲು,To build
ಸ್ವಯಂ,Auto
ಭೂಮಿಯ,Earth
ತಂದೆ,Father
ಯಾವುದೇ,Any
ಹೊಸ,New
ಕೆಲಸ,Working
ಭಾಗ,Part
ತೆಗೆದುಕೊಳ್ಳಲು,Take
ಪಡೆಯಲು,To get
ಸ್ಥಾನ,A place
ಮಾಡಿದ,Done
ಲೈವ್,Live
ಎಲ್ಲಿ,Where is the
ನಂತರ,Then
ಮತ್ತೆ,Again
ಕಡಿಮೆ,Low
ಮಾತ್ರ,Only
ಸುತ್ತಿನಲ್ಲಿ,Round
ವ್ಯಕ್ತಿ,Person
ವರ್ಷ,Year
ಬಂದರು,Harbor
ಪ್ರದರ್ಶನ,Display
